LP.;Nazwa konferencji;Liczba punktów;Przypisane dyscypliny naukowe
186;Australian Computer Human Interaction Conference [OZCHI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
187;Australian Conference for Knowledge Management and Intelligent Decision Support [ACKMIDS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
188;Australian Conference on Artificial Life and Computational Intelligence [ACALCI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
189;Australian Conference on Neural Networks [ACNN];20;"informatyka techniczna i telekomunikacja;
informatyka;"
190;Australian Conference on Software Metrics [ACOSM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
191;Australian Data Mining Conference [AusDM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
192;Australian Digital Forensics Conference;20;"informatyka techniczna i telekomunikacja;
informatyka;"
193;Australian Game Developers Conference [AGDC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
194;Australian Information Security Management Conference;20;"informatyka techniczna i telekomunikacja;
informatyka;"
195;Australian Information Warfare and Security Conference [WarSec];20;"informatyka techniczna i telekomunikacja;
informatyka;"
196;Australian Institute of Computer Ethics Conference [AICE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
197;Australian Knowledge Acquisition Workshop [AKAW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
198;Australian MADYMO Users Meeting [MADYMO];20;"informatyka techniczna i telekomunikacja;
informatyka;"
199;Australian MATLAB Conference [MATLAB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
200;Australian Software Engineering Conference [ASWEC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
201;Australian Supercomputing Conference [ACS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
202;Australian Symposium on Information Visualisation [ASIV];20;"informatyka techniczna i telekomunikacja;
informatyka;"
203;"International Telecommunication Networks and Applications Conference [ITNAC]
(Australian Telecommunication Networks and Applications Conference [ATNAC])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
204;Australian UNIX Users Group National Conference [AUUG];20;"informatyka techniczna i telekomunikacja;
informatyka;"
205;Australian Women in IT Conference [OzWIT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
206;Australian Workshop on Mobile Computing, Databases and Applications [MCDA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
207;Australian Workshop on Requirements Engineering [AWRE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
208;Australian Workshop on Safety Critical Systems and Software [SCSS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
209;Australian Workshop on Software Architecture [AWSA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
210;Australian World Wide Web Conference [AusWeb];20;"informatyka techniczna i telekomunikacja;
informatyka;"
211;Automated Software Engineering Conference [ASE];140;"informatyka techniczna i telekomunikacja;
informatyka;"
212;Automation of Software Test [AST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
213;Bioinformatics Visualization [BioViz];20;"informatyka techniczna i telekomunikacja;
informatyka;"
214;Body Sensor Networks [BSN];20;"informatyka techniczna i telekomunikacja;
informatyka;"
215;British Computer Society Conference on Human-Computer Interaction [HCI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
216;CGAL User Workshop [CGAL];20;"informatyka techniczna i telekomunikacja;
informatyka;"
217;Challenges of Large Applications in Distributed Environments [CLADE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
218;Collaborative Electronic Commerce Technology and Research [CollECTeR];70;"informatyka techniczna i telekomunikacja;
informatyka;"
219;Colloquium on Mathematics and Computer Science: Algorithms, Trees, Combinatorics and Probabilities [MathInfo];20;"informatyka techniczna i telekomunikacja;
informatyka;"
220;Cologne-Twente Workshop on Graphs and Combinatorial Optimization [CTW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
221;Combinatorial Pattern Matching [CPM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
222;Committee on Data for Science and Technology [CODATA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
223;Complex Objects Visualization Workshop [COV];20;"informatyka techniczna i telekomunikacja;
informatyka;"
224;Complexity and information-theoretic approaches to biology [CITB];70;"informatyka techniczna i telekomunikacja;
informatyka;"
225;Computability in Europe: Logic and Theory of Algorithms [CiE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
226;Computational Intelligence in Security for Information Systems [CISIS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
227;Computational Techniques and Applications Conference [CTAC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
228;Computational Topology Workshop [CT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
229;Computer Aided Verification [CAV];200;"informatyka techniczna i telekomunikacja;
informatyka;"
230;Computer Animation, Information Visualisation, and Digital Effects [CAivDE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
231;Computer Graphics International [CGI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
232;Computer Science Research Conference [CSRC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
233;Computer Supported Collaborative Learning [CSCL];140;"informatyka techniczna i telekomunikacja;
informatyka;"
234;Computing in Education Group of Victoria Conference [CEG];20;"informatyka techniczna i telekomunikacja;
informatyka;"
235;Computing: The Australasian Theory Symposium [CATS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
236;Conference for the International Simulation and Gaming Association [ISAGA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
237;Conference in Uncertainty in Artificial Intelligence [UAI];200;"informatyka techniczna i telekomunikacja;
informatyka;"
238;Conference of the Association for Machine Translation in the Americas [AMTA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
239;Conference of the Association of Asian-Pacific Operational Research Societies [APORS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
240;Conference of the Commission Internationale pour l'Etude et l'Amelioration de l'Enseignement des Mathematiques [CIEAEM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
241;Conference of the European Association for Machine Translation [EAMT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
242;Conference of the International Society for Decision Support Systems [ISDSS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
243;Conference of the Pacific Association for Computational Linguistics [PACLING];70;"informatyka techniczna i telekomunikacja;
informatyka;"
244;"Conference on Agile Software Development [XP]
(Conference on Agile Software Development [Agile])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
